request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_183,22793660.66,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 26,866,000 request. Although IDR 22,793,660.66 is available today, the full amount cannot be completed safely within 90 days."
request_184,16059.87,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 16,059.87 is available today, the full amount cannot be completed safely within 90 days."
request_185,503.79,affordable_later,wait,2025-12-14:1257.3,2025-12-14,none,"Pay EUR 1,257.30 in full on 2025-12-14. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,38510.56,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Pay INR 187,500 in full on 2024-09-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,177.43,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 177.43 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,663.45,affordable_later,wait,2025-02-13:2557.5,2025-02-13,none,"Pay EUR 2,557.50 in full on 2025-02-13. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,297.26,affordable_later,wait,2026-06-13:2046,2026-06-13,none,"Pay USD 2,046 in full on 2026-06-13. Paying earlier would take the balance below the USD 1,000 minimum."
request_193,0.0,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,,stop:event_17767|stop:event_17768,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000 available."
request_194,37618.97,affordable_later,wait,2025-10-22:132800,2025-10-22,none,"Pay INR 132,800 in full on 2025-10-22. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,288.33,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,170.40 request. Although EUR 288.33 is available today, the full amount cannot be completed safely within 90 days."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,10012494.41,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50,939,000 request. Although IDR 10,012,494.41 is available today, the full amount cannot be completed safely within 90 days."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1,400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 today. This leaves at least EUR 1,300 available over the next 90 days."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,8729.23,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Pay IDR 4,413,000 today. This leaves at least IDR 10,470,700 available over the next 90 days."
request_209,1715.59,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,715.59 is available today, the full amount cannot be completed safely within 90 days."
request_210,880.16,affordable_with_plan,partial_payment,2026-04-06:880.16|2026-04-14:479.86,2026-04-14,none,"Pay USD 880.16 today and the remaining USD 479.86 on 2026-04-14. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,770.01,affordable_later,wait,2024-09-14:1788.6,2024-09-14,none,"Pay EUR 1,788.60 in full on 2024-09-14. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,7860958.03,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 7,860,958.03 is available today, the full amount cannot be completed safely within 90 days."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 2026-01-21. This leaves at least USD 2,100 available."
request_214,65835.92,affordable_with_plan,partial_payment,2024-12-04:65835.92|2024-12-15:3914.08,2024-12-15,none,"Pay INR 65,835.92 today and the remaining INR 3,914.08 on 2024-12-15. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. This leaves at least ZAR 15,700 available."
request_216,501.9,affordable_later,wait,2026-09-13:3332.4,2026-09-13,none,"Pay USD 3,332.40 in full on 2026-09-13. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,20655.22,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800 available."
request_218,32106235.22,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available."
request_219,1276.84,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100 available."
request_220,165.48,not_affordable,not_recommended,none,2024-08-13,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 165.48 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040, starting 2025-02-04. This leaves at least IDR 22,187,600 available."
request_225,12540756.35,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-14,none,"Use 3 installments of IDR 7,647,120, starting 2026-07-20. This leaves at least IDR 17,670,700 available."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,17381.81,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 17,381.81 is available today, the full amount cannot be completed safely within 90 days."
request_228,5795363.08,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 5,795,363.08 is available today, the full amount cannot be completed safely within 90 days."
request_229,499.11,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 24,300 available."
request_232,1118.39,affordable_later,wait,2024-06-14:1970.1,2024-06-14,none,"Pay EUR 1,970.10 in full on 2024-06-14. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,323.69,affordable_later,wait,2026-09-13:1213.3,2026-09-13,none,"Pay EUR 1,213.30 in full on 2026-09-13. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,7443718.01,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 7,443,718.01 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,23990.98,affordable_with_plan,partial_payment,2026-01-06:23990.98|2026-02-13:77209.02,2026-02-13,none,"Pay INR 23,990.98 today and the remaining INR 77,209.02 on 2026-02-13. This completes the full request and keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17. This leaves at least IDR 19,252,000 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,48649.87,affordable_later,wait,2025-12-14:128500,2025-12-14,none,"Pay INR 128,500 in full on 2025-12-14. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-28. None of the available options keeps the USD 1,300 minimum protected."
request_249,195.66,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 643.20 request. Although USD 195.66 is available today, the full amount cannot be completed safely within 90 days."
request_250,17762.28,not_affordable,not_recommended,none,2025-02-12,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 17,762.28 is available today, the full amount cannot be completed safely within 90 days."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 1,513.60 is available today, the full amount cannot be completed safely within 90 days."
request_252,6137448.11,affordable_later,wait,2026-08-14:28082000,2026-08-14,none,"Pay IDR 28,082,000 in full on 2026-08-14. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1421.8,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300 available."
request_254,949.51,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,"Pay USD 3,535.20 in full on 2025-09-13. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,1751400.98,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3,345,000 request. Although IDR 1,751,400.98 is available today, the full amount cannot be completed safely within 90 days."
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-14,none,"Use 3 installments of INR 75,816, starting 2024-06-10. This leaves at least INR 168,600 available."
request_257,666.2,affordable_later,wait,2025-11-14:1352.4,2025-11-14,none,"Pay USD 1,352.40 in full on 2025-11-14. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.59,affordable_with_plan,full_payment,2026-01-07:1113.6,2026-01-07,none,"Decision: affordable_with_plan, method: full_payment."
request_259,418.57,affordable_later,wait,2024-11-13:935,2024-11-13,none,Pay EUR 935 in full on 2024-11-13. Paying earlier would take the balance below the EUR 600 minimum.
request_260,9402565.44,affordable_with_plan,partial_payment,2025-02-06:9402565.44|2025-04-15:42676434.56,2025-04-15,none,"Pay IDR 9,402,565.44 today and the remaining IDR 42,676,434.56 on 2025-04-15. This completes the full request and keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,7978.7,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 7,978.70 is available today, the full amount cannot be completed safely within 90 days."
request_264,32850.4,affordable_later,wait,2026-05-14:111300,2026-05-14,none,"Pay INR 111,300 in full on 2026-05-14. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 189,700 available over the next 90 days."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900 available."
request_267,1166.08,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,925 request. Although EUR 1,166.08 is available today, the full amount cannot be completed safely within 90 days."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400 available."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,183.44,not_affordable,not_recommended,none,2026-09-13,none,"Do not proceed with the USD 3,028.80 request. Although USD 183.44 is available today, the full amount cannot be completed safely within 90 days."
request_271,42106.8,affordable_later,wait,2024-11-13:91300,2024-11-13,none,"Pay INR 91,300 in full on 2024-11-13. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,6644468.76,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-14:5104485.22,2026-04-14,none,"Pay IDR 10,756,514.78 today and the remaining IDR 5,104,485.22 on 2026-04-14. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2106.61,not_affordable,not_recommended,none,2025-02-13,none,"Do not proceed with the EUR 2,713.70 request. Although EUR 2,106.61 is available today, the full amount cannot be completed safely within 90 days."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
